filename,split,end,fault,diameter_mil,load,or_clock,n_windows,true_cls,pred_cls,pred_prob,pred_diameter_mil
12k_Drive_End_B028_2_3007.mat,test,Drive,B,28.0,2,,118,3,3,"[0.00017576603568159044, 0.0012527931248769164, 0.0038190502673387527, 0.9947523474693298]",28.0
12k_Drive_End_IR028_2_3003.mat,test,Drive,IR,28.0,2,,118,1,1,"[9.696481720311567e-05, 0.9970738291740417, 0.0013505787355825305, 0.0014790055574849248]",28.0
12k_Fan_End_B014_1_287.mat,test,Fan,B,14.0,1,,118,3,3,"[0.018226131796836853, 0.003436311846598983, 0.002016915474087, 0.9763205051422119]",14.0
12k_Fan_End_B021_1_291.mat,test,Fan,B,21.0,1,,118,3,3,"[0.00013794476399198174, 0.012878096662461758, 0.02672087401151657, 0.9602632522583008]",21.0
12k_Fan_End_B021_3_293.mat,test,Fan,B,21.0,3,,117,3,2,"[5.2405812311917543e-05, 0.021995579823851585, 0.7817037105560303, 0.19624821841716766]",21.0
12k_Fan_End_IR007_2_280.mat,test,Fan,IR,7.0,2,,118,1,1,"[3.703678430611035e-06, 0.9924731850624084, 0.007458459585905075, 6.460350414272398e-05]",7.0
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,14.0,3,,118,1,1,"[0.0038015989121049643, 0.8231699466705322, 0.16428671777248383, 0.008741741068661213]",14.0
12k_Fan_End_IR021_0_270.mat,test,Fan,IR,21.0,0,,118,1,1,"[0.0008971743518486619, 0.8330305218696594, 0.029702911153435707, 0.13636919856071472]",21.0
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,21.0,3,,118,1,1,"[6.513448897749186e-05, 0.990787923336029, 0.006265408359467983, 0.002881479449570179]",21.0
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,7.0,0,12,118,2,2,"[7.60218026698567e-05, 0.00013816673890687525, 0.7298119068145752, 0.2699737548828125]",7.0
12k_Fan_End_OR007@12_1_305.mat,test,Fan,OR,7.0,1,12,118,2,2,"[2.0030790892633377e-06, 0.007073566783219576, 0.9890239238739014, 0.0039003740530461073]",7.0
12k_Fan_End_OR007@3_2_300.mat,test,Fan,OR,7.0,2,3,119,2,2,"[2.303489418409299e-05, 0.00018642561917658895, 0.997158408164978, 0.0026319364551454782]",7.0
12k_Fan_End_OR007@6_2_296.mat,test,Fan,OR,7.0,2,6,118,2,2,"[1.6041975641201134e-06, 0.00678322883322835, 0.9928281903266907, 0.000387150386814028]",7.0
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,14.0,2,3,118,2,2,"[5.333517947292421e-07, 0.0002037564991042018, 0.9996683597564697, 0.00012726472050417215]",14.0
12k_Fan_End_OR021@3_2_317.mat,test,Fan,OR,21.0,2,3,117,2,2,"[0.006693363189697266, 0.009090831503272057, 0.677741527557373, 0.306474506855011]",21.0
12k_Fan_End_OR021@6_0_315.mat,test,Fan,OR,21.0,0,6,117,2,1,"[0.0006136201554909348, 0.7955815196037292, 0.17501087486743927, 0.028793834149837494]",21.0
normal_1_98.mat,test,Normal,Normal,0.0,1,,118,0,0,"[0.995901346206665, 3.8400550693040714e-05, 0.00048701412742957473, 0.003573233261704445]",0.0
