filename,split,end,fault,diameter_mil,load,or_clock,n_windows,true_cls,pred_cls,pred_prob,pred_diameter_mil
12k_Drive_End_B028_2_3007.mat,test,Drive,B,28.0,2,,118,3,3,"[1.3329236935533118e-05, 5.787968621007167e-05, 1.0470545930729713e-05, 0.9999183416366577]",28.0
12k_Drive_End_IR028_2_3003.mat,test,Drive,IR,28.0,2,,118,1,1,"[3.781546411119052e-06, 0.9998295307159424, 9.667472795626963e-07, 0.00016554928151890635]",28.0
12k_Fan_End_B014_1_287.mat,test,Fan,B,14.0,1,,118,3,3,"[0.0010033473372459412, 0.0405825637280941, 0.09772196412086487, 0.8606919646263123]",14.0
12k_Fan_End_B021_1_291.mat,test,Fan,B,21.0,1,,118,3,3,"[2.094373030558927e-06, 0.0005496818921528757, 0.0012227409752085805, 0.9982256293296814]",21.0
12k_Fan_End_B021_3_293.mat,test,Fan,B,21.0,3,,117,3,3,"[4.266445102985017e-06, 0.00035359678440727293, 0.1479007452726364, 0.8517412543296814]",21.0
12k_Fan_End_IR007_2_280.mat,test,Fan,IR,7.0,2,,118,1,1,"[3.6836798244621605e-05, 0.9425301551818848, 0.05094419792294502, 0.006488754879683256]",7.0
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,14.0,3,,118,1,1,"[3.8897320337127894e-05, 0.6470640897750854, 0.27810239791870117, 0.07479474693536758]",14.0
12k_Fan_End_IR021_0_270.mat,test,Fan,IR,21.0,0,,118,1,1,"[6.196185609042004e-08, 0.992456316947937, 0.0038613458164036274, 0.0036822198890149593]",21.0
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,21.0,3,,118,1,1,"[3.430161987783009e-10, 0.9997748136520386, 0.00011132059444207698, 0.00011398618516977876]",21.0
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,7.0,0,12,118,2,3,"[0.0007877051248215139, 0.3666194677352905, 0.23882807791233063, 0.39376482367515564]",7.0
12k_Fan_End_OR007@12_1_305.mat,test,Fan,OR,7.0,1,12,118,2,2,"[1.0027372809418011e-05, 0.0016085933893918991, 0.8722105026245117, 0.1261710375547409]",7.0
12k_Fan_End_OR007@3_2_300.mat,test,Fan,OR,7.0,2,3,119,2,2,"[4.56787438452011e-06, 0.0008694927673786879, 0.9362163543701172, 0.06290959566831589]",7.0
12k_Fan_End_OR007@6_2_296.mat,test,Fan,OR,7.0,2,6,118,2,2,"[1.6831369066494517e-05, 0.02026464231312275, 0.8953558802604675, 0.0843627005815506]",7.0
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,14.0,2,3,118,2,2,"[3.312687013590221e-08, 0.05608716234564781, 0.9416291117668152, 0.0022836218122392893]",14.0
12k_Fan_End_OR021@3_2_317.mat,test,Fan,OR,21.0,2,3,117,2,2,"[1.0000056818171288e-06, 0.01983739249408245, 0.9391248226165771, 0.04103665053844452]",21.0
12k_Fan_End_OR021@6_0_315.mat,test,Fan,OR,21.0,0,6,117,2,2,"[6.928733142785859e-09, 0.049157969653606415, 0.9508415460586548, 3.58065960881504e-07]",21.0
normal_1_98.mat,test,Normal,Normal,0.0,1,,118,0,0,"[0.9999235272407532, 1.9786648408626206e-05, 2.6639892894309014e-05, 3.0511715522152372e-05]",0.0
