filename,split,end,fault,diameter_mil,load,or_clock,n_windows,true_cls,pred_cls,pred_prob,pred_diameter_mil
12k_Drive_End_B028_2_3007.mat,test,Drive,B,28.0,2,,118,3,3,"[1.634836507946602e-06, 8.492689812555909e-05, 0.1311510056257248, 0.8687624335289001]",28.0
12k_Drive_End_IR028_2_3003.mat,test,Drive,IR,28.0,2,,118,1,1,"[4.996577374072331e-09, 0.9998964667320251, 0.00010318292333977297, 2.2357700402153569e-07]",28.0
12k_Fan_End_B014_1_287.mat,test,Fan,B,14.0,1,,118,3,3,"[0.07206547260284424, 0.024114375934004784, 0.04498225077986717, 0.8588377833366394]",14.0
12k_Fan_End_B021_1_291.mat,test,Fan,B,21.0,1,,118,3,2,"[0.0016510572750121355, 0.016036055982112885, 0.5195677876472473, 0.46274521946907043]",21.0
12k_Fan_End_B021_3_293.mat,test,Fan,B,21.0,3,,117,3,2,"[2.4676419343450107e-05, 0.1544804722070694, 0.7920317053794861, 0.0534633994102478]",21.0
12k_Fan_End_IR007_2_280.mat,test,Fan,IR,7.0,2,,118,1,1,"[3.1385804959427333e-06, 0.8655415773391724, 0.13394197821617126, 0.0005131905199959874]",7.0
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,14.0,3,,118,1,1,"[0.027434788644313812, 0.4720032513141632, 0.38893112540245056, 0.11163091659545898]",14.0
12k_Fan_End_IR021_0_270.mat,test,Fan,IR,21.0,0,,118,1,1,"[4.961077866028063e-05, 0.8320013284683228, 0.059658657759428024, 0.10829048603773117]",21.0
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,21.0,3,,118,1,1,"[1.7903785192174837e-06, 0.9820238351821899, 0.01741326041519642, 0.0005610628868453205]",21.0
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,7.0,0,12,118,2,3,"[0.002674190327525139, 0.020809873938560486, 0.3049784004688263, 0.6715376377105713]",7.0
12k_Fan_End_OR007@12_1_305.mat,test,Fan,OR,7.0,1,12,118,2,2,"[2.585081892902963e-05, 0.12821198999881744, 0.5819122195243835, 0.2898499369621277]",7.0
12k_Fan_End_OR007@3_2_300.mat,test,Fan,OR,7.0,2,3,119,2,2,"[0.0022519375197589397, 0.12136541306972504, 0.7865161299705505, 0.08986648917198181]",7.0
12k_Fan_End_OR007@6_2_296.mat,test,Fan,OR,7.0,2,6,118,2,2,"[1.941850769071607e-06, 0.10489417612552643, 0.8933382034301758, 0.0017658157739788294]",7.0
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,14.0,2,3,118,2,2,"[4.745573889408661e-08, 0.0029302360489964485, 0.996984601020813, 8.513228385709226e-05]",14.0
12k_Fan_End_OR021@3_2_317.mat,test,Fan,OR,21.0,2,3,117,2,2,"[0.011469952762126923, 0.18191924691200256, 0.44774994254112244, 0.3588607907295227]",21.0
12k_Fan_End_OR021@6_0_315.mat,test,Fan,OR,21.0,0,6,117,2,1,"[5.4513584757387434e-09, 0.999845027923584, 1.293660375267791e-06, 0.00015377275121863931]",21.0
normal_1_98.mat,test,Normal,Normal,0.0,1,,118,0,0,"[0.9586554765701294, 0.0031561243813484907, 0.002285129390656948, 0.03590318188071251]",0.0
